Date,Close,High,Low,Open,Volume
2021-01-01,901.1946411132812,905.5022064134912,898.7007496438623,901.421320358103,10015175
2021-01-04,902.713623046875,906.363698565092,892.3527025549105,904.6406964491767,24513534
2021-01-05,891.4912109375,899.4262438413816,886.9115106039434,892.80613046262,24123091
2021-01-06,867.9807739257812,891.4457932255564,863.854552119663,891.4004573776713,46401468
2021-01-07,866.5751953125,881.9238397966232,863.8546244352824,870.814757093236,32325918
2021-01-08,876.800048828125,878.9311936650147,867.0059456976594,869.6811807226603,27540187
2021-01-11,860.2724609375,879.1125050229124,858.1186482532938,879.1125050229124,33307825
2021-01-12,887.3876953125,888.7252828199374,861.4740587259083,862.87970997784,41161546
2021-01-13,879.1124877929688,895.5040358477936,869.8852032617441,890.3349094942321,26619458
2021-01-14,888.997314453125,891.8539526683576,879.225879879633,881.9237826562116,21553242
2021-01-15,878.5004272460938,894.9826476255291,870.6107298685408,888.9973558240713,20593268
2021-01-18,899.5848999023438,905.5021875578412,872.106998334172,883.7828382090427,35100458
2021-01-19,914.298828125,920.9188817318542,904.4366615381476,904.4366615381476,32006615
2021-01-20,931.6652221679688,933.1615451092316,907.4973158868204,916.5659852036084,30924537
2021-01-21,951.93359375,961.2742782497206,940.8699070414724,944.0438963533106,39087742
2021-01-22,929.3527221679688,959.165840987856,922.8006124178714,957.1933717044934,30532660
2021-01-25,880.110107421875,922.7099765082172,876.0292211149126,922.7099765082172,54207104
2021-01-27,859.2522583007812,872.8552326609131,856.0782689298538,872.8552326609131,42370131
2021-01-28,850.886474609375,872.0844035148573,847.9164965706553,852.5188051471522,34067814
2021-01-29,835.19775390625,867.4593698333902,829.7792200753853,858.9348503983574,43712383
2021-02-01,859.3883056640625,863.7865428347654,837.9409701152957,843.110096652801,34180952
2021-02-02,873.218017578125,879.6567282728388,841.092407917175,867.9808869129354,41470034
2021-02-03,875.4171142578125,885.0978176672972,861.5193971120666,874.3515418529886,30301696
2021-02-04,872.5377807617188,879.656648554206,863.7865225405493,872.4017132446297,25626981
2021-02-05,872.2883911132812,881.7651430554548,870.5880568440388,875.1450294447208,20248046
2021-02-08,884.848388671875,892.8060891318694,874.6915398289318,876.5052135771294,21183400
2021-02-09,886.9795532226562,902.1468540671392,885.2338830875444,889.6095123241837,19604141
2021-02-10,895.2093505859375,899.9477267102546,873.8980819416108,885.8913937556059,21234156
2021-02-11,932.1185913085938,935.9727980522624,894.2797692311354,897.793837177367,42539278
2021-02-12,925.7252197265624,942.2301071014969,913.8453084946966,932.0279220969352,30497029
2021-02-15,921.6443481445312,934.6578356915304,918.1982839074868,928.6498762091928,15791099
2021-02-16,933.8416748046876,942.864948032298,922.7325927047402,924.8864053509031,21421660
2021-02-17,944.6106567382812,950.3692089797069,929.8061035808392,934.0683329596526,23742994
2021-02-18,937.559814453125,956.014443525895,933.6602717704308,945.4041756996926,18646877
2021-02-19,943.2730712890624,954.4501576444582,931.030412526974,932.7081388605912,23403483
2021-02-22,910.5353393554688,947.6260636331054,904.57277521046,943.1370946035588,23804335
2021-02-23,917.4954223632812,930.848988222682,913.029121794404,928.6271719000512,25644108
2021-02-24,934.5218505859376,936.4489240552962,918.7197282010852,920.4654582700598,10807663
2021-02-25,972.3153076171876,975.7840397521636,939.9629623775808,941.3232777095964,34855693
2021-02-26,945.7669067382812,967.576928004242,938.9200542247918,959.9139702500598,37481215
2021-03-01,952.9765014648438,957.646873714604,935.2019693603648,956.8306484903324,17680764
2021-03-02,954.9261474609376,965.8084897149364,947.263190026968,962.1810822756376,17150760
2021-03-03,998.5009765625,1006.572077071357,955.4703590572256,961.750393670414,31924461
2021-03-04,986.5983276367188,992.9917014235936,978.3685522339484,988.4800650989264,21435754
2021-03-05,987.890625,1002.9672532884404,976.260120871694,977.5977682721734,25511666
2021-03-08,993.5132446289062,1012.0132094952947,983.0389843818928,983.2656636273796,19506841
2021-03-09,993.4905395507812,1003.8061245628406,973.3355758572836,997.5487577867862,15154484
2021-03-10,989.3643188476562,1004.3956118787132,984.0591848216624,1000.7228083320848,11519358
2021-03-12,969.2546997070312,1000.4507422731192,963.0426687169552,995.2816157511662,16864952
2021-03-15,956.2411499023438,974.378367439583,943.3636702802957,970.3655452396614,16698099
2021-03-16,952.4777221679688,963.9948870594852,950.165234013291,958.553685547253,13873801
2021-03-17,931.9599609375,953.5659717866566,922.7779520359184,951.321487384943,19210236
2021-03-18,910.9887084960938,945.313461898209,907.315905191204,939.9175965589106,20647480
2021-03-19,944.0438232421876,950.3238575711216,899.0634664039354,902.7816055754888,41787429
2021-03-22,935.1566162109376,940.4164143959772,921.9164490477824,939.0561589834672,18572478
2021-03-23,946.5377807617188,956.603958736694,932.2547090305418,934.9526119187764,17421165
2021-03-24,928.3097534179688,943.0235744782576,925.181100240172,943.0235744782576,16822814
2021-03-25,902.9857177734376,931.347851095088,900.0610755416413,931.347851095088,22001648
2021-03-26,904.4366455078124,913.0745041101142,894.937285828174,912.303674731854,20180202
2021-03-30,920.1480712890624,929.035337372419,903.0310289019576,910.4899757979094,20441701
2021-03-31,908.2681274414062,929.4887232737644,906.40905776399,915.0243084377212,16250796
2021-04-01,916.77001953125,920.4654911265428,908.2908359953476,915.0243493680184,11723312
2021-04-05,903.5071411132812,918.198295125252,889.677488179083,918.1756272004716,14875099
2021-04-06,899.74365234375,909.107004338236,892.8061280725167,908.6762538058488,14009194
2021-04-07,908.15478515625,928.128465159544,903.8245518752842,906.8625335398098,24266353
2021-04-08,909.2883911132812,916.8380096725808,903.6885139889864,911.85028647344,15369188
2021-04-09,898.7234497070312,909.7418004729616,897.7938848658578,906.1597285641936,14037885
2021-04-12,866.5751953125,889.3601188333347,861.632807894605,888.271878488836,20901482
2021-04-13,875.9385375976562,879.9287521472845,869.6131669055775,872.4017415275625,19411189
2021-04-15,881.6063842773438,889.1786704861084,867.4139846330557,873.4446120904353,19723716
2021-04-16,876.0745239257812,884.1456245317884,873.5126286216039,878.1149969863354,15656948
2021-04-19,862.2901611328125,868.9556101628922,856.9850274045621,863.3330655330114,18478808
2021-04-20,862.0408325195312,870.1345408290238,857.1891171314771,866.2803940149797,17203668
2021-04-22,864.42138671875,868.0715224771913,850.9544798546892,858.0053442180699,14490954
2021-04-23,863.4918823242188,870.0892682363567,859.4109960022909,864.2400438171045,11828857
2021-04-26,878.6817016601562,889.6321078230069,866.7337869207527,870.5879935892407,20846778
2021-04-27,901.716064453125,905.592879224886,878.8631384956852,879.6566357896455,19992524
2021-04-28,905.63818359375,910.4898988549594,897.8618863960234,905.8875907227454,17122437
2021-04-29,917.7675170898438,927.0401972486708,910.1725631547909,917.2460348994038,17412606
2021-04-30,904.36865234375,923.1860285256436,901.2173310194296,910.7166908105166,19828769
2021-05-03,888.29443359375,897.3403740884293,881.0622267762088,891.445754629743,23640186
2021-05-04,869.0463256835938,892.2620588404909,866.5071582786076,884.190958253908,21849830
2021-05-05,870.6333618164062,878.9764773257763,865.1694924935965,872.1070167804479,12393609
2021-05-06,875.5758056640625,877.3895395810054,864.51205875474,871.4269155650811,14624666
2021-05-07,875.9158325195312,886.7528395578353,873.3086014127246,878.6364032493998,12288548
2021-05-10,873.3992919921875,882.7399763357812,871.0188000480982,879.2032403073009,13941237
2021-05-11,876.5507202148438,878.999216065306,866.0537312569095,868.3209436649042,13478264
2021-05-12,867.4819946289062,876.4372641804301,864.6934200952072,875.1676804843173,13177961
2021-05-14,878.4324340820312,880.563518938135,864.2400338075389,874.2381482108096,13291616
2021-05-17,888.8839111328125,890.2895022472771,875.3036065895062,878.4323196410428,11873078
2021-05-18,901.3986206054688,908.0414016691676,894.3930927948095,898.2472994692848,12064918
2021-05-19,905.52490234375,914.3214965481936,894.1664727852633,897.7938805270868,16317002
2021-05-20,900.242431640625,911.8049324349583,898.2473543943751,905.9103124284246,11422532
2021-05-21,908.018798828125,911.2154560407944,900.5145161905418,903.235087003718,10785605
2021-05-24,900.3557739257812,911.3061808075764,898.7007755187158,910.4899555985552,8551760
2021-05-25,890.153564453125,905.5022080454436,888.7252453359569,905.2301329831128,14780102
2021-05-26,893.2822875976562,897.5672452840586,891.1285347593667,895.5267721091835,7480204
2021-05-27,896.0255126953125,903.688470513556,889.7454781714291,893.395613685115,26819294
2021-05-28,949.8477172851562,954.4726930793016,902.3281359107764,902.3281359107764,56469931
2021-05-31,979.5474853515624,993.7852201877816,945.42680317027,953.1124286476038,59124142
2021-06-01,983.4470825195312,998.4556475299046,973.2901730558312,982.1321030027278,28013832
2021-06-02,998.1155395507812,1001.8563467317178,978.0511883191928,978.0511883191928,24630162
2021-06-03,1001.9243774414062,1020.220331233519,995.7804103170116,1007.0707759680464,23974257
2021-06-04,993.2411499023438,1005.0076615198448,990.4071796454298,1004.2595000884417,14468646
2021-06-07,1009.9727783203124,1016.5928919877746,990.7473191357552,998.4556731308024,16336573
2021-06-08,1004.1689453125,1009.859494444954,996.7099980540836,1009.6101472508224,9674735
2021-06-09,986.2129516601562,1007.0707400246994,978.4819302316135,1006.1639031267836,11409161
2021-06-10,989.8404541015624,1011.1517216348074,987.3692305170946,994.5561020859404,14155653
2021-06-11,1007.0098876953124,1013.766875641892,991.9717457006176,993.24581569042,13762778
2021-06-14,1021.4566040039062,1027.5310032039945,998.7742213753507,1007.8517599235836,20332436
2021-06-15,1023.777099609375,1035.1068867541692,1019.363468899092,1028.7822714120728,15174215
2021-06-16,1006.3046264648438,1022.43480289493,1003.6883057699944,1021.4565636140352,10797349
2021-06-17,1008.1473388671876,1016.951852658188,991.8806822040292,1001.0264002407748,15745975
2021-06-18,1012.6975708007812,1016.951973026685,993.905579255041,1012.6293299435551,29369026
2021-06-21,1017.9755249023438,1022.6393714408104,1001.0946414287472,1002.6189276770938,12186448
2021-06-22,1012.7429809570312,1028.7822288722175,1009.830889872548,1025.597054027167,12871913
2021-06-23,1003.4607543945312,1024.0499936427696,1001.7999261642768,1023.7770302436452,16653951
2021-06-24,979.8684692382812,1007.6696977965144,973.7258293406423,1004.1433786288184,91461975
2021-06-25,957.5499877929688,979.868355835384,946.9254774381874,979.868355835384,55355022
2021-06-28,949.1550903320312,967.5830690553375,946.880034202098,965.535542609245,20277042
2021-06-29,949.97412109375,959.6203929887992,948.2906059997632,950.7476377872767,27144063
